😀;1f600;grinning
⚓;2693;anchor
⛵;26f5;sailboat
🚣;1f6a3;rowboat
🛶;1f6f6;canoe
🚤;1f6a4;speedboat
🛳;1f6f3;passenger-ship
⛴;26f4;ferry
🛥;1f6e5;motor-boat
🚢;1f6a2;ship
✈;2708;airplane
🛩;1f6e9;small-airplane
🛫;1f6eb;airplane-departure
🛬;1f6ec;airplane-arrival
💺;1f4ba;seat
🚁;1f681;helicopter
🚟;1f69f;suspension-railway
🚠;1f6a0;mountain-cableway
🚡;1f6a1;aerial-tramway
🚀;1f680;rocket
🛰;1f6f0;satellite
🛎;1f6ce;bellhop-bell
🚪;1f6aa;door
🛌;1f6cc;person-in-bed
🛏;1f6cf;bed
🛋;1f6cb;couch-and-lamp
🚽;1f6bd;toilet
🚿;1f6bf;shower
🛀;1f6c0;bath
🛁;1f6c1;bathtub
⌛;231b;hourglass
⏳;23f3;hourglass-with-flowing-sand
⌚;231a;watch
⏰;23f0;alarm-clock
⏱;23f1;stopwatch
⏲;23f2;timer-clock
🕰;1f570;mantelpiece-clock
🕛;1f55b;clock12
🕧;1f567;clock1230
🕐;1f550;clock1
🕜;1f55c;clock130
🕑;1f551;clock2
🕝;1f55d;clock230
🕒;1f552;clock3
🕞;1f55e;clock330
🕓;1f553;clock4
🕟;1f55f;clock430
🕔;1f554;clock5
🕠;1f560;clock530
🕕;1f555;clock6
🕡;1f561;clock630
🕖;1f556;clock7
🕢;1f562;clock730
🕗;1f557;clock8
🕣;1f563;clock830
🕘;1f558;clock9
🕤;1f564;clock930
🕙;1f559;clock10
🕥;1f565;clock1030
🕚;1f55a;clock11
🕦;1f566;clock1130
🌑;1f311;new-moon
🌒;1f312;waxing-crescent-moon
🌓;1f313;first-quarter-moon
🌔;1f314;waxing-gibbous-moon
🌕;1f315;full-moon
🌖;1f316;waning-gibbous-moon
🌗;1f317;last-quarter-moon
🌘;1f318;waning-crescent-moon
🌙;1f319;crescent-moon
🌚;1f31a;new-moon-face
🌛;1f31b;first-quarter-moon-with-face
🌜;1f31c;last-quarter-moon-with-face
🌡;1f321;thermometer
☀;2600;sun
🌝;1f31d;full-moon-with-face
🌞;1f31e;sun-with-face
⭐;2b50;white-medium-star
🌟;1f31f;glowing-star
🌠;1f320;shooting-star
☁;2601;cloud
⛅;26c5;sun-behind-cloud
⛈;26c8;cloud-with-lightning-and-rain
🌤;1f324;sun-behind-small-cloud
🌥;1f325;sun-behind-large-cloud
🌦;1f326;sun-behind-cloud-with-rain
🌧;1f327;cloud-with-rain
🌨;1f328;cloud-with-snow
🌩;1f329;cloud-with-lightning
🌪;1f32a;tornado
🌫;1f32b;fog
🌬;1f32c;wind
🌀;1f300;cyclone
🌈;1f308;rainbow
🌂;1f302;closed-umbrella
☂;2602;umbrella
☔;2614;umbrella-with-rain-drops
⛱;26f1;umbrella-on-ground
⚡;26a1;high-voltage
❄;2744;snowflake
☃;2603;snowman
⛄;26c4;snowman-without-snow
☄;2604;comet
🔥;1f525;fire
💧;1f4a7;droplet
🌊;1f30a;water-wave
🎃;1f383;jack-o-lantern
🎄;1f384;christmas-tree
🎆;1f386;fireworks
🎇;1f387;sparkler
✨;2728;sparkles
🎈;1f388;balloon
🎉;1f389;party-popper
🎊;1f38a;confetti-ball
🎋;1f38b;tanabata-tree
🎍;1f38d;pine-decoration
🎎;1f38e;japanese-dolls
🎏;1f38f;carp-streamer
🎐;1f390;wind-chime
🎑;1f391;moon-ceremony
🎀;1f380;ribbon
🎁;1f381;wrapped-present
🎗;1f397;reminder-ribbon
🎟;1f39f;admission-tickets
🎫;1f3ab;ticket
🎖;1f396;military-medal
🏆;1f3c6;trophy
🏅;1f3c5;sports-medal
🥇;1f947;first-place-medal
🥈;1f948;second-place-medal
🥉;1f949;third-place-medal
⚽;26bd;soccer-ball
⚾;26be;baseball
🏀;1f3c0;basketball
🏐;1f3d0;volleyball
🏈;1f3c8;american-football
🏉;1f3c9;rugby-football
🎾;1f3be;tennis
🎱;1f3b1;billiards
🎳;1f3b3;bowling
🏏;1f3cf;cricket
🏑;1f3d1;field-hockey
🏒;1f3d2;ice-hockey-stick-and-puck
🏓;1f3d3;ping-pong
🏸;1f3f8;badminton
🥊;1f94a;boxing-glove
🥋;1f94b;martial-arts-uniform
⛳;26f3;flag-in-hole
🏌;1f3cc;golfer
⛸;26f8;ice-skate
🎣;1f3a3;fishing-pole
🎽;1f3bd;running-shirt
🎿;1f3bf;skis
⛷;26f7;skier
🏂;1f3c2;snowboarder
🏄;1f3c4;surfer
🏇;1f3c7;horse-racing
🏊;1f3ca;swimmer
⛹;26f9;person-with-ball
🏋;1f3cb;weight-lifter
🚴;1f6b4;bicyclist
🚵;1f6b5;mountain-biker
🏎;1f3ce;racing-car
🏍;1f3cd;motorcycle
🤸;1f938;person-doing-cartwheel
🤼;1f93c;wrestlers
🤽;1f93d;water-polo
🤾;1f93e;handball
🤺;1f93a;fencer
🥅;1f945;goal-net
🤹;1f939;juggling
🎯;1f3af;direct-hit
🎮;1f3ae;video-game
🕹;1f579;joystick
🎲;1f3b2;game-die
♠;2660;spade-suit
♥;2665;heart-suit
♦;2666;diamond-suit
♣;2663;club-suit
🃏;1f0cf;joker
🀄;1f004;mahjong
🎴;1f3b4;flower-playing-cards
🔇;1f507;speaker-off
🔈;1f508;speaker
🔉;1f509;speaker-on
🔊;1f50a;speaker-loud
📢;1f4e2;loudspeaker
📣;1f4e3;megaphone
📯;1f4ef;postal-horn
🔔;1f514;bell
🔕;1f515;bell-with-slash
🎼;1f3bc;musical-score
🎵;1f3b5;musical-note
🎶;1f3b6;musical-notes
🎙;1f399;studio-microphone
🎚;1f39a;level-slider
🎛;1f39b;control-knobs
🎤;1f3a4;microphone
🎧;1f3a7;headphone
📻;1f4fb;radio
🎷;1f3b7;saxophone
🎸;1f3b8;guitar
🎹;1f3b9;musical-keyboard
🎺;1f3ba;trumpet
🎻;1f3bb;violin
🥁;1f941;drum-with-drumsticks
📱;1f4f1;mobile-phone
📲;1f4f2;mobile-phone-with-arrow
☎;260e;telephone
📞;1f4de;telephone-receiver
📟;1f4df;pager
📠;1f4e0;fax-machine
🔋;1f50b;battery
🔌;1f50c;electric-plug
💻;1f4bb;laptop-computer
